"run_fondo";"run_fondo_l";"nombre_fondo";"nombre_corto";"vigencia";"estado";"tipo_fondo";"rut_admin";"razon_social_adm";"fecha_deposito";"fecha_ultima_mod";"fecha_operaciones";"nro_resolucion";"fecha_cumplimiento";"fecha_termino_ope";"nro_registro"
"8230";"8230-9";FONDO MUTUO SANTANDER MONEY MARKET DOLAR;MARKET DOLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96667040-1";SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2020-10-20;2023-01-25;2001-12-05;Res. 306 (05/12/2001);2001-12-07;;FM110401
"8333";"8333-K";FONDO MUTUO ITAÚ CASH DOLLAR;ITAU CASH DOLLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96980650-9";ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2020-11-10;2023-03-22;2004-11-23;Res. 511 (23/11/2004);2004-12-03;;FM110237
"9104";"9104-9";FONDO MUTUO BANCOESTADO DOLAR DISPONIBLE;DOLAR DISPONIBLE;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96836390-5";BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-08-25;2023-03-17;2014-12-15;-;2015-02-26;;FM140760
"8384";"8384-4";FONDO MUTUO SECURITY DOLAR MONEY MARKET;DOLAR MONEY MARKET;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96639280-0";ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2023-04-11;2023-04-27;2005-09-08;Res. 502 (08/09/2005);2005-09-30;;FM110469
"8367";"8367-4";FONDO MUTUO SCOTIA RETAIL DÓLAR;RETAIL DÓLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2017-08-21;2021-09-24;2005-05-25;Res. 252 (25/05/2005);2005-07-07;;FM110086
"8257";"8257-0";FONDO MUTUO BCI DOLAR CASH;DOLAR CASH;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96530900-4";BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-24;2023-02-13;2003-07-21;Res. 30 (21/07/2003);2003-07-21;;FM110430
"8606";"8606-1";FONDO MUTUO LARRAINVIAL MONEY MARKET;MONEY MARKET;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96955500-K";LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-06-25;2023-07-28;2008-03-06;Res. 8 (06/03/2008);2008-03-06;;FM110033
"8618";"8618-5";FONDO MUTUO BTG PACTUAL MONEY MARKET DOLAR;MONEY MARKET DOLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96966250-7";BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS;2016-12-22;2022-08-02;2008-04-24;Res. 252 (24/04/2008);2008-04-24;;FM110103
"8945";"8945-1";FONDO MUTUO CREDICORP CAPITAL MONEY MARKET;FM CC MONEY M;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"99549940-1";CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-03-18;2023-05-08;2012-08-01;-;2012-09-13;;FM120578
"8325";"8325-9";FONDO MUTUO SCOTIA LIQUIDEZ DOLAR;LIQUIDEZ DOLAR;No Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96634320-6";SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2014-12-02;2018-12-10;2004-12-07;Res. 429 (07/12/2004);2004-12-13;2021-10-23;FM110139
"8248";"8248-1";FONDO MUTUO BANCHILE CORPORATE DOLLAR;CORPORATE DOLLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96767630-6";BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-11-09;2023-07-07;2002-10-09;Res. 389 (09/10/2002);2002-10-13;;FM110232
"8629";"8629-0";FONDO MUTUO ZURICH DOLAR;ZURICH DOLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"77750920-9";ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-06-14;2023-03-13;2008-06-14;Res. 88 (14/06/2008);2008-06-14;;FM110068
"8506";"8506-5";FONDO MUTUO BICE LIQUIDEZ DÓLAR;BICE LIQUIDEZ DÓLAR;Vigente;;"1-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS";"96514410-2";BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2019-10-07;2021-03-31;2007-05-07;Res. 136 (07/05/2007);2007-05-14;;FM110350