"run_fondo";"serie";"caracteristica";"fecha_inicio";"fecha_termino";"valor_ini_cuo";"continuadora_serie"
"8629";X;;2008-06-14;2010-04-30;1000.0;
"8629";B;APV;2008-06-14;2014-12-09;1.0;
"8629";A;;2008-06-14;;1.0;
"8629";ADC;;2022-08-10;;1000.0;
"8629";B-APV;APV-APVC;2014-12-10;;1.0;B
"8629";COL-Z;;2023-03-27;;1000.0;
"8629";COL-Z APV/APVC;APV-APVC;2023-03-27;;1000.0;
"8629";CUI;;2020-07-15;;1000.0;
"8629";CUI PREFER;;;;1000.0;
"8629";D;;2008-06-14;;1.0;
"8629";E;;2008-06-14;;1.0;
"8629";EXT;;;;1.0;
"8629";H-APV;APV-APVC;;;1.0;
"8629";I-APV;APV-APVC;;;1.0;
"8629";N;;;;1000.0;
"8629";P;;2022-05-30;;1000.0;
"8629";PRE-APV;APV;;;1000.0;
"8629";W;;2022-01-24;;1000.0;
"8629";W-APV;APV;2022-02-02;;1000.0;
"8629";Z;;2019-11-21;;1000.0;
"8506";A;;2007-05-07;2017-11-09;1000.0;
"8506";B;APV;2016-02-03;2017-11-09;1.0;
"8506";C;;2007-05-07;2017-11-09;1000.0;
"8506";I;;2007-05-07;2017-11-09;1000.0;
"8506";APV;APV;2017-11-10;;1000.0;B
"8506";CLASICA;;2017-11-10;;1000.0;A
"8506";D;APV;;;1000.0;
"8506";G;APV;;;1000.0;
"8506";INSTITUCIO;;2017-11-10;;1000.0;I
"8506";K;;2018-11-29;;1.0;
"8506";LIQUIDEZ;;2017-11-10;;1000.0;C
"8238";UNICA;;2002-07-03;2021-10-23;100.0;
"8238";I;;2021-10-25;;100.0;
"8238";LARGE;;2021-10-25;;100.0;
"8238";MEDIUM;;2021-10-29;;100.0;
"8238";SMALL;;2021-10-24;;129.1505;UNICA
"8230";AM;;;2015-09-24;1000.0;
"8230";UNICA;;2001-12-05;2020-10-13;500.0;
"8230";AM;;;2020-11-02;500.0;
"8230";GLOBAL;;2020-10-14;2023-02-23;652.4344;UNICA
"8230";ALTO;;2023-02-24;;500.0;
"8230";AMX;;2022-07-12;;500.0;AM
"8230";EJECU;;2023-02-24;;500.0;GLOBA
"8230";UNIVE;;2023-02-24;;500.0;
"8333";UNICA;;2004-11-23;2018-07-29;1000.0;
"8333";M1;;2018-07-30;2020-12-09;1215.8184;UNICA
"8333";M2;;2018-07-30;2020-12-09;1215.8262;UNICA
"8333";M3;;2018-07-30;2020-12-09;1215.8342;UNICA
"8333";M4;;2018-07-30;2020-12-09;1215.8462;UNICA
"8333";M5;;2018-07-30;2020-12-09;1215.8478;UNICA
"8333";F1;;2020-12-10;;1215.8184;M1
"8333";F2;;2020-12-10;;1215.8262;M2
"8333";F3;;2020-12-10;;1215.8342;M3
"8333";F4;;2020-12-10;;1215.8462;M4
"8333";F5;;2020-12-10;;1215.8478;M5
"9104";A;;2014-12-15;;100.0;
"9104";B;;2015-03-25;;100.0;
"9104";BE;;2022-09-12;;100.0;
"9104";C;;2015-02-19;;100.0;
"9104";CB;;;;100.0;
"9104";I;;2014-12-15;;100.0;
"8384";UNICA;;2005-09-08;2008-08-12;1000.0;
"8384";A;;2008-08-13;;1106.768;UNICA
"8384";B;;2008-08-13;;1000.0;
"8384";C;;2008-08-13;;1000.0;
"8384";D;;2023-06-08;;1000.0;
"8384";S;;2016-04-15;;1000.0;
"8367";A;;2005-05-25;2021-10-23;500.0;
"8367";B;;2005-05-25;2021-10-23;500.0;
"8367";ALTOPATRIM;;2021-10-29;;1000.0;
"8367";CLASICA;;2021-10-24;;621.0188;A
"8367";WEALTH;;2022-08-17;;1000.0;
"8257";ALFA;;2003-07-21;2011-12-29;100.0;
"8257";ADC;;2021-04-27;;100.0;
"8257";ALPAT;;2011-12-30;;100.0;
"8257";APV;APV;2021-04-12;;100.0;
"8257";BCI;;2018-07-12;;100.0;
"8257";CLASI;;2011-12-30;;120.8857;ALFA
"8257";COLAB;;2021-03-05;;100.0;
"8257";GAMMA;;2003-07-21;;100.0;
"8606";B;APV;2008-03-06;2011-05-08;1.9212;
"8606";APV-A;APV;2011-05-09;2013-04-26;1.0;
"8606";EX;;;2016-03-26;1.0;
"8606";G-APV;APV-APVC;2013-04-27;2016-03-26;1.0;
"8606";A;;2008-03-06;;1.9212;
"8606";APV;APV;2013-04-27;;2374.489;APV-A
"8606";F;;2011-05-09;;1.0;
"8606";I;;2008-03-06;;2.122;
"8606";LV;;2016-08-12;;1.0;
"8606";P;;2011-05-09;;1.0;
"8618";A-APV;APV;2008-04-24;2011-01-09;1.7489;
"8618";B-APV;APV;2008-04-24;2011-01-09;1.6013;
"8618";C-APV;APV;2008-04-24;2011-01-09;1.6372;
"8618";A;;2008-04-24;;1.7489;
"8618";B;;2008-04-24;;1.6013;
"8618";F;;2015-08-21;;1000.0;
"8618";I;;2008-04-24;;1.685;
"8945";D;;2012-08-01;2015-01-17;1000.0;
"8945";AC;;2021-05-07;;1000.0;
"8945";B;;2012-08-01;;1000.0;
"8945";CC;;2021-05-06;;1000.0;
"8945";F;;2015-01-18;;1006.4345;D
"8945";I;;2012-08-01;;1000.0;
"8945";IM;;2019-08-05;;1000.0;
"8325";B;;2004-12-07;2007-12-03;1000.0;
"8325";A;;2004-12-07;2021-10-23;1000.0;
"8325";E;;2007-12-04;2021-10-23;1120.9972;B
"8325";USD;;2007-12-04;2021-10-23;1000.0;
"8248";UNICA;;2002-10-09;2018-08-02;1000.0;
"8248";A;;2018-08-03;;1229.1356;UNICA
"8248";BCH;;2020-09-08;;1000.0;
"8248";BPLUS;APV;2020-02-20;;1260.0;
"8248";IE;;;;1250.0;
"8248";IT;;2022-08-23;;1250.0;
"8248";P;;2023-10-26;;1300.0;
